Name account,Sentiment,Vader,Textblob,Retweet
POTUS,1,0.5719,0.1,1657
POTUS,0,0.8519,0.2333,1133
POTUS,-1,-0.296,0,1333
POTUS,0,-0.1612,0.2,3837
POTUS,0,0,0,673
POTUS,0,0.1779,0.25,4226
POTUS,2,0.4649,-0.0069,893
POTUS,0,0.7717,-0.0375,1751
POTUS,0,0.3818,0.0296,1282
POTUS,0,0,0,760
POTUS,0,0.9022,0.1667,3232
POTUS,0,0.7184,0,2381
POTUS,0,0.5574,0.15,2699
POTUS,0,0.3477,0.25,9618
POTUS,0,0.3818,0.25,5772
POTUS,0,-0.5994,0.05,3494
POTUS,0,0,0,1900
POTUS,0,0.7269,0.2778,2078
POTUS,0,0.3182,0.0938,858
POTUS,0,0.2732,0,851
POTUS,0,0.743,0.5,4747
POTUS,0,0,0,716
POTUS,0,0.0772,0.15,4102
POTUS,0,0.8074,0.75,12236
POTUS,0,-0.9337,-0.0212,1921
POTUS,0,0.8126,0.1,727
POTUS,0,0.8591,0.2389,2286
POTUS,0,-0.9604,0,4470
POTUS,0,-0.7906,0,926
POTUS,0,-0.6486,0,1089
POTUS,0,-0.875,0.0682,2947
POTUS,-1,-0.8471,0.0333,2196
POTUS,-2,-0.9081,-0.0422,8217
POTUS,0,0.886,0.375,853
POTUS,0,0.34,0,3170
POTUS,0,0,0,1060
POTUS,0,0.7717,0.2125,9308
POTUS,0,-0.8689,0.1364,6362
POTUS,0,0.5661,0,1901
POTUS,0,-0.6597,0,8266
POTUS,0,-0.9448,0.2227,2163
POTUS,0,-0.7906,0.169,4001
POTUS,0,-0.6597,0.125,1042
POTUS,0,0,0,7252
POTUS,0,0,0.4,1633
POTUS,0,0.7783,0.5,7450
POTUS,0,-0.743,-0.05,1754
POTUS,0,0.7351,0.1389,2376
POTUS,0,0.9042,0.31,1986
POTUS,0,0.959,0.0682,2877
POTUS,0,0.875,-0.0764,6057
POTUS,0,0.8807,0.1653,1433
POTUS,0,0.908,0.235,1556
POTUS,0,0.8225,0.3333,4133
POTUS,0,0.9042,0.2929,3813
POTUS,0,0.7351,0.35,1201
POTUS,0,0.5423,0.125,1978
POTUS,0,0,0,1254
POTUS,0,0,0.25,1408
POTUS,0,0.7165,0.1,5348
POTUS,0,0.7964,0.1,5103
POTUS,0,0.7506,1,6526
POTUS,0,0.8689,0.04,1918
POTUS,0,0.1779,0.25,1744
POTUS,0,-0.0772,0.1,6369
POTUS,0,-0.128,0.1,5820
POTUS,1,0.5267,0.5,1260
POTUS,0,-0.8591,-0.4,5359
POTUS,0,0,0,3007
POTUS,0,0.2648,0.3833,2626
POTUS,0,0.7351,0.4619,2499
POTUS,0,0.4404,0.5,773
POTUS,0,0.5093,1,12208
POTUS,0,-0.128,0,7315
POTUS,-1,0.504,0,3897
POTUS,0,0.3818,0.2,2710
POTUS,0,0.6486,0,2917
POTUS,1,0.9413,0.4111,1369
POTUS,0,0.9081,0.1389,14755
POTUS,0,0.9618,0.8,1808
POTUS,0,0.5267,0,668
POTUS,0,0.5267,0.4333,1608
POTUS,0,-0.5574,0.05,1949
POTUS,0,-0.0258,0.1,3020
POTUS,0,0.3818,0.2,7565
POTUS,0,0.4019,0.075,2966
POTUS,1,0.3612,0.2619,2315
POTUS,3,0.9571,0.4429,1550
POTUS,0,0.8481,0.4,3750
POTUS,0,-0.5994,0.0833,9606
POTUS,0,0.5563,0.2583,2593
POTUS,0,0.5267,0.1667,3765
POTUS,-1,-0.9336,-0.1667,2749
POTUS,0,0.7506,0.2,2265
POTUS,0,0.6705,-0.0448,1502
POTUS,0,-0.1027,0,7545
POTUS,0,-0.4404,-0.0778,1395
POTUS,0,0.4588,0,3247
POTUS,0,-0.296,0,4723
POTUS,0,0.6705,0.2619,1844
POTUS,0,-0.0534,0.2,3285
POTUS,0,0.8316,0.3,1214
POTUS,0,-0.34,0.1364,4972
POTUS,-1,0.3818,0,5980
POTUS,0,-0.5574,0.0167,2120
POTUS,0,-0.25,0,755
POTUS,1,0.6369,0.4714,8956
POTUS,0,0.4404,0.25,2902
POTUS,0,0.5267,0,2597
POTUS,0,0.2732,-0.1667,4007
POTUS,0,0.3818,0.1333,10211
POTUS,0,0.1531,-0.2,2375
POTUS,0,0.7783,0.2929,6444
POTUS,0,-0.6808,0.1667,4695
POTUS,1,0.2263,0.1746,2387
POTUS,1,0.0258,0,2088
POTUS,0,0,0,876
POTUS,0,0.7717,0.1705,6702
POTUS,0,0.3182,0.5,1075
POTUS,0,0.886,0,2035
POTUS,0,0.5719,0.2,1629
POTUS,0,0.7147,0.0875,881
POTUS,0,-0.3919,-0.125,1161
POTUS,0,0.4404,0.25,1628
POTUS,0,0.8173,0.45,665
POTUS,0,-0.6412,-0.0333,4420
POTUS,0,0.6474,0,1708
POTUS,0,0.3182,0.1214,1570
POTUS,0,0,0,3567
POTUS,0,0.5423,0.0833,6349
POTUS,0,0.8225,-0.2917,3455
POTUS,-1,-0.2144,-0.3429,14014
POTUS,0,0.5106,0.3429,2539
POTUS,0,0,0,1630
POTUS,0,-0.7717,0.125,4370
POTUS,0,0,0,1294
POTUS,0,0.8225,0.33,3074
POTUS,0,0.4767,0.125,5878
POTUS,0,0.7506,0.25,4226
POTUS,0,0,0,2981
POTUS,0,-0.4767,0.0464,3328
POTUS,0,-0.0516,-0.125,5742
POTUS,0,0.5106,0,1948
POTUS,0,0.6369,-0.1,16903
POTUS,0,0.3818,0.2952,3052
POTUS,0,0.6808,0.2857,5777
POTUS,0,0.9716,0.1333,4030
POTUS,0,0.743,0,2930
POTUS,-1,0,0.2,7753
POTUS,0,0.0852,0.3444,12415
POTUS,-1,-0.539,0.1875,6600
POTUS,0,0.2732,0,2236
POTUS,0,0.6486,0.1133,5027
POTUS,0,0.6486,0.0682,3581
POTUS,0,0.4215,0,1014
POTUS,0,0.8714,0.4333,3090
POTUS,0,0,0,10893
POTUS,-1,0.296,0.4333,2335
POTUS,0,0.6478,0.25,3519
POTUS,0,0.8625,0,3743
POTUS,0,-0.0516,0.0196,2535
POTUS,0,0.5106,0.1958,5142
POTUS,0,0,0,1446
POTUS,0,0.4404,0.2,2957
POTUS,0,0,0,636
POTUS,0,-0.7184,0.0341,5412
POTUS,0,0,0.2857,2516
POTUS,0,0.9062,0.3267,3316
POTUS,0,0.6293,0.4,1905
POTUS,0,0.8074,-0.2333,2007
POTUS,0,0.168,-0.1,8154
POTUS,0,0.5423,0,5395
POTUS,0,0.6808,0.1,8752
POTUS,-1,-0.4767,0.2952,7281
POTUS,0,0.7184,0.2857,1830
POTUS,0,0.9493,0.4625,2115
POTUS,-1,-0.593,0.2464,7139
POTUS,0,0,0.1,6700
POTUS,0,0,0,9502
POTUS,0,0.7783,0.0429,5124
POTUS,0,0.9595,0.65,3556
POTUS,0,0.4588,-0.025,2088
